frame,t,yellow_frac
1088,36.2667,0.00239
1089,36.3000,0.00238
1090,36.3333,0.00239
1091,36.3667,0.00239
1092,36.4000,0.00238
1093,36.4333,0.00239
1094,36.4667,0.00239
1095,36.5000,0.00239
1096,36.5333,0.00239
1097,36.5667,0.00239
1098,36.6000,0.00239
1099,36.6333,0.00239
1100,36.6667,0.00239
1101,36.7000,0.00239
1102,36.7333,0.00239
1103,36.7667,0.00239
1104,36.8000,0.00239
1105,36.8333,0.00239
1106,36.8667,0.00239
1107,36.9000,0.00239
1108,36.9333,0.00239
1109,36.9667,0.00238
1110,37.0000,0.00238
1111,37.0333,0.00238
1112,37.0667,0.00238
1113,37.1000,0.00238
1114,37.1333,0.00238
1115,37.1667,0.00238
1116,37.2000,0.00238
1117,37.2333,0.00239
1118,37.2667,0.00239
1119,37.3000,0.00239
1120,37.3333,0.00238
1121,37.3667,0.00239
1122,37.4000,0.00239
1123,37.4333,0.00238
1124,37.4667,0.00238
1125,37.5000,0.00238
1126,37.5333,0.00233
1127,37.5667,0.00233
1128,37.6000,0.00233
1129,37.6333,0.00233
1130,37.6667,0.00233
1131,37.7000,0.00233
1132,37.7333,0.00233
1133,37.7667,0.00233
1134,37.8000,0.00233
1135,37.8333,0.00233
1136,37.8667,0.00233
1137,37.9000,0.00218
1138,37.9333,0.00218
1139,37.9667,0.00165
1140,38.0000,0.00156
1141,38.0333,0.00156
1142,38.0667,0.00137
1143,38.1000,0.00137
1144,38.1333,0.00117
1145,38.1667,0.00080
